secret_column,known_columns,num_known_columns,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
INDP,"[""AGEP"", ""DEAR"", ""DPHY"", ""INDP_CAT"", ""PINCP"", ""POVPIP"", ""WGTP""]",7,0.5686274509803921,1.0,1.0,1.0,0.715674683869405,51,51,0.2623346178278821,0.43265302109302245,0.6949876389209045,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
DENSITY,"[""AGEP"", ""DEAR"", ""DREM"", ""INDP"", ""INDP_CAT"", ""NOC"", ""WGTP""]",7,0.3191489361702128,0.9215686274509803,1.0,0.9215686274509803,0.8404174387052225,51,51,0.2577196435346541,0.20395378749637438,0.4616734310310285,47,0.07555760416399637,0.9244423958360036,1.0,47
DENSITY,"[""AGEP"", ""DEAR"", ""DREM"", ""INDP"", ""INDP_CAT"", ""NOC"", ""WGTP""]",7,0.30612244897959184,0.9607843137254902,1.0,0.9607843137254902,0.8469314822534613,51,51,0.2501240229090408,0.19515491268006566,0.4452789355891064,49,0.07269781922049645,0.9273021807795035,1.0,49
DENSITY,"[""AGEP"", ""DEAR"", ""DREM"", ""INDP"", ""INDP_CAT"", ""NOC"", ""WGTP""]",7,0.3137254901960784,1.0,1.0,1.0,0.8431299692938368,51,51,0.24699321065168894,0.2032767846552545,0.45026999530694345,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
POVPIP,"[""AGEP"", ""DEAR"", ""DREM"", ""INDP_CAT"", ""NOC"", ""PINCP"", ""PWGTP""]",7,0.72,0.9803921568627451,1.0,0.9803921568627451,0.6399821243563482,51,51,0.24190953030045337,0.5833487630404344,0.8252582933408877,50,0.07134759913335886,0.9286524008666414,1.0000000000000002,50
POVPIP,"[""AGEP"", ""DEAR"", ""DREM"", ""INDP_CAT"", ""NOC"", ""PINCP"", ""PWGTP""]",7,0.7254901960784313,1.0,1.0,1.0,0.6372366883385662,51,51,0.23832375526134197,0.5905334923922092,0.8288572476535512,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
HOUSING_TYPE,"[""AGEP"", ""DEAR"", ""DREM"", ""MSP"", ""NOC"", ""PINCP"", ""WGTP""]",7,0.7,0.6666666666666666,1.0,0.6666666666666666,0.6498283784635804,15,15,0.4954305851325535,0.3967781474611453,0.8922087325936988,10,0.27753279986288926,0.7224672001371106,0.9999999999999999,10
HOUSING_TYPE,"[""AGEP"", ""DEAR"", ""DREM"", ""MSP"", ""NOC"", ""PINCP"", ""WGTP""]",7,0.6428571428571429,0.9333333333333333,1.0,0.9333333333333333,0.6785567654772833,15,15,0.44890845142538466,0.387644231039074,0.8365526824644587,14,0.21531080273763603,0.7846891972623642,1.0000000000000002,14
HOUSING_TYPE,"[""AGEP"", ""DEAR"", ""DREM"", ""MSP"", ""NOC"", ""PINCP"", ""WGTP""]",7,0.6666666666666666,1.0,1.0,1.0,0.6666516671166531,15,15,0.431101278217655,0.41713547738519774,0.8482367556028527,15,0.20388330103584884,0.7961166989641514,1.0000000000000002,15
RAC1P,"[""AGEP"", ""DEAR"", ""EDU"", ""INDP"", ""PINCP_DECILE"", ""POVPIP"", ""PWGTP""]",7,0.04081632653061224,0.9607843137254902,1.0,0.9607843137254902,0.9795865420065843,51,51,0.1258646896946149,0.011265633366185785,0.13713032306080067,49,0.07269781922049645,0.9273021807795035,1.0,49
